year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1936,Asia,Earthquake,4,52,0,40,0,40,0
1936,Asia,Storm,8,5708,0,0,300000,300000,0
1936,Europe,Landslide,2,146,0,0,0,0,0
1937,Americas,Flood,4,496,0,0,0,0,876000
1937,Americas,"Mass movement (dry)",2,80,0,0,0,0,0
1937,Asia,Storm,6,22462,0,0,0,0,0
1937,Oceania,"Volcanic activity",2,1012,15000,0,0,15000,0
1938,Americas,Landslide,2,400,0,0,0,0,0
1938,Americas,Storm,2,1200,0,0,0,0,612000
1938,Asia,Earthquake,4,332,0,1600,9420,11020,0
1938,Asia,Flood,2,1866,0,0,0,0,0
1938,Asia,Storm,2,610,0,0,0,0,0
1938,Oceania,Flood,2,42,0,0,0,0,0
1939,Africa,Earthquake,2,34,0,0,0,0,0
1939,Americas,Earthquake,2,60000,0,117000,0,117000,1840000
1939,Asia,Earthquake,6,66130,0,136,0,136,40000
1939,Asia,Flood,2,1000000,0,0,0,0,0
1939,Asia,Storm,2,0,0,0,0,0,0
1939,Europe,Flood,2,20,0,0,0,0,0
1939,Oceania,Earthquake,2,24,0,0,0,0,0
1939,Oceania,Storm,2,6,0,0,0,0,0
1939,Oceania,Wildfire,2,142,0,0,7800,7800,0
1940,Africa,Drought,18,40000,0,0,0,0,0
1940,Africa,Epidemic,2,3000,30000,0,0,30000,0
1940,Americas,Earthquake,4,516,0,0,0,0,66000
1940,Americas,Flood,2,250,0,0,4000,4000,0
1940,Americas,Storm,2,100,0,0,0,0,0
1940,Asia,Earthquake,2,74,0,0,0,0,0
1940,Asia,Storm,2,146,0,0,0,0,0
1940,Europe,Earthquake,2,1960,0,0,0,0,20000
1940,Oceania,Storm,2,0,0,0,0,0,0
1941,Americas,Earthquake,2,348,0,0,0,0,0
1941,Americas,Landslide,2,10000,0,0,0,0,0
1941,Asia,Earthquake,2,30,0,0,0,0,0
1941,Asia,Storm,2,10000,0,0,0,0,0
1941,Oceania,Storm,2,12,0,0,0,0,0
1942,Americas,Earthquake,4,410,0,32,0,32,56000
1942,Asia,Drought,2,3000000,0,0,0,0,0
1942,Asia,Earthquake,6,14060,0,0,0,0,0
1942,Asia,Storm,4,202000,0,0,0,0,0
1942,Oceania,Storm,2,0,0,0,0,0,0
1943,Americas,Earthquake,4,424,0,70,0,70,200000
1943,Americas,Flood,2,0,0,0,0,0,1800000
1943,Americas,"Volcanic activity",2,0,6000,0,0,6000,0
1943,Asia,Drought,2,3800000,0,0,0,0,0
1943,Asia,Earthquake,6,8240,28000,14192,0,42192,0
1943,Asia,Flood,2,1980,0,0,0,0,0
1943,Asia,Storm,4,10000,60000,0,0,60000,0
1943,Oceania,Storm,2,0,0,0,0,0,0
1944,Africa,"Insect infestation",2,0,0,0,0,0,0
1944,Americas,Earthquake,2,20000,240000,70000,0,310000,0
1944,Americas,Storm,6,844,0,0,4000,4000,200000
1944,Americas,Wildfire,2,242,0,0,0,0,0
1944,Asia,Earthquake,6,9968,0,0,0,0,0
1944,Asia,Storm,4,608,0,0,20000,20000,0
1944,Europe,"Volcanic activity",2,52,0,0,28000,28000,0
1944,Oceania,Wildfire,2,98,0,0,4200,4200,0
1945,Americas,Storm,8,436,0,0,0,0,0
1945,Asia,Earthquake,4,11922,0,0,0,0,0
1945,Asia,Storm,6,8394,3763344,0,4000,3767344,800000
1945,Asia,"Volcanic activity",2,0,0,0,0,0,160000
1945,Europe,Earthquake,4,0,0,0,0,0,0
1945,Europe,Epidemic,2,0,208,0,0,208,0
1946,Africa,Drought,2,60000,0,0,0,0,0
1946,Africa,Earthquake,2,552,0,0,0,0,0
1946,Americas,Earthquake,8,3276,0,0,0,0,50000
1946,Americas,Storm,4,100,0,0,0,0,1000
1946,Asia,Earthquake,6,6478,0,0,0,0,0
1946,Asia,Storm,2,520,0,0,0,0,0
1946,Europe,Storm,2,54,0,0,0,0,0
1946,Oceania,Storm,2,0,0,0,0,0,0
1946,Oceania,"Volcanic activity",2,0,5000,0,0,5000,0
1947,Africa,Epidemic,2,20552,0,0,0,0,0
1947,Americas,Earthquake,2,466,0,0,0,0,0
1947,Americas,Storm,8,616,0,0,0,0,200000
1947,Americas,Wildfire,2,0,0,0,0,0,60000
1947,Asia,Drought,2,0,0,0,0,0,0
1947,Asia,Earthquake,2,800,0,0,0,0,0
1947,Asia,Flood,2,4000,0,0,0,0,0
1947,Asia,Storm,6,8860,0,0,0,0,0
1948,Africa,Storm,2,330,0,0,0,0,0
1948,Americas,Flood,4,510,0,0,0,0,0
1948,Americas,Storm,8,112,0,600,0,600,36000
